age,gender,state_of_origin,distance_from_home_km,marital_status,has_children,admission_score,secondary_school_type,secondary_cgpa,year_of_study,current_cgpa,course_load_per_semester,attendance_percentage,number_of_failed_courses,number_of_repeated_courses,semester_gpa_trend,department,program_difficulty,scholarship_status,family_income_level,fee_payment_status,has_part_time_job,receives_allowance,financial_stress_level,library_visits_per_week,online_platform_usage_hours,participation_in_clubs,has_mentor,peer_study_groups,social_integration_score,accommodation_type,health_status,stress_level,received_academic_counseling,tutoring_sessions_attended,motivation_level,career_clarity,family_support,previous_warnings,probation_status,is_stem,will_dropout
22,Female,Cross_River,733,Single,0,267,Public,4.25,5,2.32,21,39,2,3,Improving,Science,High,None,Medium,Fully_Paid,1,1,Low,6,5,0,0,1,4,Living_with_Family,Good,Moderate,0,4,Moderate,Unclear,High,1,0,1,0
26,Female,Kaduna,313,Single,1,341,Private,2.16,4,3.97,28,52,4,5,Improving,Agriculture,Very_High,None,Medium,Owing,0,1,High,5,4,1,0,1,9,Campus_Hostel,Poor,Moderate,0,6,High,Somewhat_Clear,Low,3,0,0,1
26,Male,Kano,723,Single,0,205,Public,3.48,4,4.73,15,41,4,5,Improving,Engineering,Moderate,None,Medium,Fully_Paid,1,1,Very_High,13,19,1,0,0,5,Campus_Hostel,Fair,Moderate,0,15,Very_High,Unclear,Very_Low,1,0,1,0
25,Female,Lagos,232,Single,0,294,Public,4.36,5,1.74,18,83,11,3,Declining,Medicine,Low,Partial,High,Owing,1,0,Moderate,3,14,1,1,1,7,Off_Campus,Excellent,High,0,16,Low,Somewhat_Clear,Low,4,0,1,1
18,Female,Borno,204,Single,0,183,Public,3.32,4,3.17,23,70,11,4,Declining,Social_Sciences,Moderate,None,Low,Fully_Paid,0,1,High,0,7,0,1,0,6,Private_Hostel,Fair,High,0,13,High,Clear,Very_Low,1,0,0,1
25,Female,Katsina,32,Single,0,313,Public,3.52,2,5.0,13,94,11,5,Declining,Environmental_Studies,Moderate,None,Medium,Partially_Paid,0,0,Moderate,2,16,0,1,0,7,Campus_Hostel,Good,Moderate,0,17,Moderate,Clear,High,4,0,0,0
17,Male,Lagos,23,Single,0,213,Private,2.7,4,3.17,22,82,9,1,Declining,Arts,Moderate,None,Medium,Owing,0,1,Very_High,13,23,0,0,0,6,Off_Campus,Fair,Low,0,9,High,Very_Clear,Moderate,1,0,0,1
16,Female,Kano,729,Single,1,181,Private,3.95,4,3.53,16,36,5,4,Stable,Agriculture,Very_High,None,Low,Partially_Paid,1,1,Very_High,5,21,0,0,0,2,Campus_Hostel,Fair,High,1,12,Low,Somewhat_Clear,Moderate,4,0,0,0
18,Female,Kaduna,223,Single,0,337,Public,3.16,4,2.7,24,86,5,0,Stable,Social_Sciences,Moderate,Partial,High,Owing,0,1,Very_High,0,6,0,0,0,4,Off_Campus,Good,Moderate,0,16,High,Very_Clear,Moderate,4,0,0,1
22,Female,Oyo,436,Single,0,205,Private,3.75,1,4.18,29,48,8,3,Improving,Arts,Very_High,None,Low,Partially_Paid,0,1,Low,9,28,1,0,1,1,Off_Campus,Good,High,0,18,Very_High,Somewhat_Clear,Moderate,3,0,0,0
18,Male,Katsina,430,Single,1,272,Public,4.2,1,2.98,17,61,1,3,Declining,Education,Moderate,None,Medium,Owing,1,1,Moderate,6,18,1,0,0,5,Off_Campus,Good,Moderate,0,2,Moderate,Somewhat_Clear,High,3,0,0,1
17,Female,Lagos,519,Single,0,205,Private,2.08,1,4.25,24,94,1,5,Stable,Education,Low,None,Low,Fully_Paid,0,1,High,11,24,0,0,0,1,Campus_Hostel,Good,High,0,1,Moderate,Very_Clear,Moderate,3,0,0,0
18,Female,Cross_River,352,Single,0,305,Public,4.51,1,4.51,16,35,4,4,Stable,Business_Admin,Very_High,None,Medium,Fully_Paid,0,1,Very_High,4,18,0,0,0,5,Off_Campus,Good,Very_High,1,8,Moderate,Unclear,High,4,0,0,0
17,Female,Kaduna,711,Single,0,206,Private,2.71,1,3.1,28,88,2,1,Improving,Social_Sciences,Very_High,None,Low,Owing,0,0,Moderate,9,2,1,0,0,2,Living_with_Family,Good,High,0,3,High,Somewhat_Clear,Moderate,3,0,0,0
25,Female,Lagos,495,Single,0,328,Private,2.73,2,4.07,29,74,11,2,Stable,Agriculture,Low,None,Low,Fully_Paid,0,1,Very_High,4,2,0,1,1,7,Campus_Hostel,Good,High,0,4,Very_High,Very_Unclear,High,2,0,0,0
24,Female,Anambra,619,Single,0,264,Private,3.62,3,1.68,25,32,3,5,Declining,Engineering,Low,None,Medium,Fully_Paid,1,0,High,8,23,0,0,0,3,Off_Campus,Fair,High,1,17,High,Unclear,High,2,0,1,1
20,Female,Imo,287,Single,0,206,Public,4.53,2,4.25,23,73,4,7,Stable,Law,Low,None,Low,Owing,1,1,Low,11,28,1,1,0,1,Campus_Hostel,Fair,High,0,12,High,Clear,High,2,0,0,0
19,Female,Delta,405,Single,0,287,Public,2.65,3,1.97,17,55,4,6,Improving,Medicine,Moderate,Partial,Medium,Partially_Paid,0,0,Moderate,11,0,0,0,1,3,Living_with_Family,Fair,Low,1,11,High,Clear,Low,4,0,1,1
19,Male,Borno,680,Single,0,325,Private,2.81,1,2.75,29,71,9,2,Stable,Agriculture,High,None,Low,Fully_Paid,1,1,Low,10,26,0,0,1,7,Off_Campus,Poor,Moderate,1,10,High,Clear,Moderate,2,0,0,0
16,Female,Imo,481,Single,0,221,Private,3.25,5,4.83,17,99,4,3,Declining,Environmental_Studies,Moderate,None,Low,Fully_Paid,1,1,Moderate,11,27,0,0,1,9,Off_Campus,Good,Moderate,1,18,Very_High,Somewhat_Clear,Moderate,3,1,0,0
27,Male,Kaduna,549,Single,0,339,Public,4.65,2,3.26,29,78,10,0,Improving,Medicine,Moderate,None,Medium,Partially_Paid,0,0,High,7,3,0,0,0,2,Living_with_Family,Good,High,0,8,Moderate,Somewhat_Clear,High,0,1,1,1
24,Female,Oyo,604,Single,0,328,Public,2.31,4,3.32,23,45,4,1,Stable,Social_Sciences,Low,Partial,Low,Partially_Paid,0,0,Moderate,14,25,0,0,1,9,Living_with_Family,Good,Low,0,6,Very_High,Somewhat_Clear,High,3,1,0,0
22,Female,Imo,249,Single,1,219,Private,3.85,4,1.61,18,63,2,4,Stable,Science,Low,None,Medium,Fully_Paid,1,1,High,2,8,0,0,0,6,Off_Campus,Fair,High,0,19,Low,Somewhat_Clear,Very_Low,4,0,1,1
16,Male,Ogun,230,Single,0,216,Public,3.99,2,3.38,20,52,1,0,Stable,Engineering,Moderate,None,Medium,Partially_Paid,1,0,Very_High,14,15,0,1,0,7,Off_Campus,Good,Moderate,0,13,Low,Somewhat_Clear,High,4,0,1,0
19,Female,Kaduna,297,Single,0,308,Public,2.01,3,4.71,23,82,8,0,Improving,Business_Admin,High,None,Low,Fully_Paid,0,0,Very_High,3,3,1,0,1,2,Private_Hostel,Good,Moderate,0,6,Moderate,Somewhat_Clear,High,0,0,0,0
18,Female,Ogun,557,Single,0,282,Public,3.8,4,1.94,23,32,1,1,Improving,Social_Sciences,High,None,Medium,Partially_Paid,0,1,High,3,22,0,0,0,8,Living_with_Family,Good,Moderate,1,2,Moderate,Clear,High,4,0,0,1
20,Male,Kaduna,413,Married,1,240,Private,2.48,2,4.09,27,99,5,0,Improving,Social_Sciences,High,Partial,Medium,Partially_Paid,0,1,Low,4,4,1,0,0,6,Off_Campus,Good,High,0,5,Moderate,Somewhat_Clear,High,1,0,0,0
18,Male,Kaduna,382,Single,0,208,Public,4.79,4,2.3,22,77,3,5,Improving,Social_Sciences,High,Partial,Medium,Fully_Paid,0,0,Moderate,9,4,1,0,0,8,Campus_Hostel,Fair,High,0,12,Moderate,Clear,Very_High,3,0,0,0
17,Female,Ogun,593,Single,1,293,Public,2.53,1,2.8,16,89,11,5,Improving,Environmental_Studies,Moderate,None,Low,Fully_Paid,1,0,Low,14,26,1,1,0,3,Campus_Hostel,Good,High,0,10,Low,Clear,Moderate,3,0,0,0
25,Male,Rivers,597,Single,0,282,Public,2.3,1,4.66,15,98,0,7,Stable,Education,Low,None,Low,Fully_Paid,1,0,Moderate,13,26,0,0,1,9,Off_Campus,Excellent,High,0,14,Moderate,Unclear,Moderate,1,0,0,0
23,Female,Lagos,286,Single,1,239,Public,3.43,3,4.39,20,45,12,0,Stable,Law,Low,Full,Low,Partially_Paid,0,0,Moderate,6,1,0,0,1,8,Off_Campus,Good,High,0,11,Moderate,Very_Clear,Very_Low,4,0,0,0
26,Male,Anambra,283,Married,0,221,Public,3.82,3,2.34,29,46,11,6,Declining,Science,High,Partial,Medium,Partially_Paid,0,0,High,10,7,0,0,0,1,Living_with_Family,Excellent,Moderate,0,2,High,Somewhat_Clear,Moderate,4,0,1,1
21,Male,Lagos,685,Single,0,294,Public,2.82,1,2.31,24,68,0,1,Declining,Law,High,Full,Low,Owing,1,0,Very_High,3,6,1,0,0,7,Off_Campus,Good,Very_High,0,12,Moderate,Somewhat_Clear,Very_Low,0,0,0,1
18,Female,Anambra,739,Single,0,335,Private,2.07,2,4.43,24,62,4,3,Declining,Environmental_Studies,High,None,Low,Fully_Paid,1,1,High,8,16,0,0,0,5,Living_with_Family,Poor,High,0,9,Very_High,Clear,Low,4,0,0,0
24,Female,Ogun,393,Single,0,342,Public,2.23,1,3.91,28,73,12,5,Stable,Business_Admin,High,None,Low,Partially_Paid,1,1,Very_High,10,0,0,0,1,4,Private_Hostel,Good,Moderate,1,15,High,Somewhat_Clear,High,3,0,0,0
19,Female,Borno,419,Single,0,261,Public,4.03,1,4.58,18,56,8,0,Stable,Social_Sciences,Moderate,None,Low,Partially_Paid,1,1,Moderate,9,1,1,0,0,8,Off_Campus,Poor,High,0,17,Moderate,Somewhat_Clear,High,1,0,0,0
19,Female,Enugu,156,Married,0,235,Public,3.87,3,4.93,27,47,9,2,Improving,Business_Admin,High,None,Medium,Fully_Paid,1,1,Moderate,7,20,1,1,1,3,Private_Hostel,Fair,High,1,5,Low,Unclear,Moderate,0,0,0,0
19,Female,Edo,200,Single,1,236,Private,4.04,1,2.31,13,97,8,6,Stable,Medicine,High,None,Low,Fully_Paid,0,1,Low,10,0,0,0,0,1,Campus_Hostel,Fair,Moderate,1,15,Low,Somewhat_Clear,Low,1,0,1,1
24,Female,Oyo,142,Single,1,207,Private,4.87,2,2.62,13,51,11,6,Improving,Science,High,Partial,Low,Owing,0,1,High,14,10,0,0,1,7,Off_Campus,Excellent,Low,0,6,High,Somewhat_Clear,Moderate,2,0,1,1
26,Male,Edo,360,Single,0,261,Private,2.16,3,1.52,26,41,10,7,Stable,Education,High,None,Medium,Owing,0,1,Low,7,9,0,0,1,3,Campus_Hostel,Good,Moderate,0,17,Moderate,Very_Unclear,Moderate,1,0,0,1
17,Female,Rivers,490,Single,0,315,Private,3.13,5,1.81,27,77,0,7,Stable,Environmental_Studies,Moderate,None,Low,Partially_Paid,1,1,High,4,1,1,0,0,6,Off_Campus,Excellent,Low,0,7,Moderate,Somewhat_Clear,Moderate,0,0,0,1
23,Male,Oyo,165,Single,0,344,Public,2.9,1,3.7,18,36,2,4,Improving,Social_Sciences,High,None,Medium,Partially_Paid,0,1,High,10,9,0,0,1,5,Campus_Hostel,Good,Moderate,1,7,High,Very_Clear,High,1,0,0,0
20,Female,Delta,417,Single,0,243,Public,3.47,2,4.23,25,60,13,4,Improving,Business_Admin,Moderate,None,Low,Partially_Paid,1,1,High,4,16,1,0,1,6,Off_Campus,Fair,Moderate,1,10,Low,Somewhat_Clear,Moderate,1,0,0,1
24,Female,Delta,482,Single,0,200,Private,4.37,3,2.82,18,51,1,5,Stable,Social_Sciences,Moderate,None,Low,Owing,0,0,Low,3,26,0,0,0,5,Off_Campus,Good,Moderate,1,9,High,Somewhat_Clear,Low,0,0,0,0
20,Female,Delta,657,Single,1,219,Private,2.88,4,3.08,15,49,13,3,Stable,Law,Moderate,None,Medium,Partially_Paid,0,1,Moderate,10,15,1,0,1,7,Private_Hostel,Fair,Low,1,10,Very_Low,Clear,Moderate,2,0,0,1
17,Female,Katsina,212,Single,0,267,Public,4.44,4,4.47,22,73,7,1,Improving,Social_Sciences,Moderate,None,Low,Fully_Paid,0,1,High,13,4,1,1,0,9,Private_Hostel,Good,Moderate,0,8,High,Somewhat_Clear,Low,4,1,0,0
21,Male,Lagos,531,Single,0,244,Private,4.77,2,3.08,16,91,14,7,Stable,Law,High,Partial,High,Owing,0,0,Very_High,3,20,0,1,0,3,Living_with_Family,Excellent,Moderate,1,0,Moderate,Somewhat_Clear,High,3,0,0,1
16,Female,Lagos,733,Single,0,248,Public,4.42,1,2.28,22,67,5,7,Improving,Business_Admin,Very_High,None,Medium,Owing,0,1,Moderate,12,23,1,0,0,2,Campus_Hostel,Good,Moderate,0,11,Moderate,Unclear,High,1,0,0,1
22,Male,Edo,33,Single,0,268,Public,2.46,3,4.59,23,49,14,1,Improving,Social_Sciences,Very_High,Partial,Low,Fully_Paid,0,0,High,14,15,0,0,0,5,Private_Hostel,Good,Moderate,0,19,Very_High,Very_Unclear,Very_High,0,0,0,0
22,Male,Lagos,314,Single,0,340,Public,4.08,1,4.46,28,61,1,4,Improving,Arts,Moderate,None,Medium,Partially_Paid,0,0,Low,3,24,0,0,0,2,Private_Hostel,Good,Low,0,12,High,Clear,Very_Low,4,1,0,0
23,Female,Imo,605,Single,0,290,Private,3.17,1,4.69,13,72,5,7,Improving,Education,Very_High,None,Medium,Owing,0,1,Moderate,1,24,0,0,1,1,Campus_Hostel,Excellent,Moderate,0,3,Moderate,Very_Unclear,Moderate,0,1,0,0
25,Female,Katsina,208,Single,0,235,Private,3.92,4,4.77,26,83,14,2,Improving,Medicine,High,None,Medium,Partially_Paid,0,1,Low,11,28,0,0,1,5,Private_Hostel,Good,Moderate,0,19,Very_Low,Unclear,High,1,1,1,0
20,Male,Enugu,551,Single,0,333,Public,3.5,2,2.22,27,86,12,1,Stable,Arts,High,Partial,Medium,Partially_Paid,0,0,High,12,17,0,0,0,8,Campus_Hostel,Good,High,0,2,High,Unclear,High,3,0,0,1
25,Male,Edo,759,Married,0,224,Public,4.54,1,4.25,18,38,14,6,Improving,Science,Moderate,Partial,High,Partially_Paid,1,1,High,2,29,0,1,0,5,Private_Hostel,Fair,High,0,6,High,Somewhat_Clear,Low,0,0,1,0
26,Male,Borno,299,Single,0,267,Public,2.33,2,3.36,20,66,4,3,Stable,Engineering,Moderate,None,Medium,Fully_Paid,0,0,Moderate,9,15,0,0,0,4,Off_Campus,Fair,Moderate,1,8,Very_Low,Clear,Moderate,0,0,1,0
25,Male,Rivers,522,Single,0,249,Public,4.03,3,1.71,21,71,11,3,Stable,Education,Moderate,None,Low,Partially_Paid,0,1,Moderate,7,6,0,0,0,8,Off_Campus,Fair,Moderate,0,0,Moderate,Clear,Moderate,2,0,0,1
22,Male,Anambra,591,Single,0,239,Public,4.22,2,4.34,21,33,8,4,Stable,Law,Very_High,None,Low,Partially_Paid,0,1,High,9,28,0,1,0,2,Off_Campus,Excellent,Moderate,0,2,High,Clear,Low,3,0,0,0
16,Female,Oyo,46,Single,0,279,Public,2.51,3,2.44,27,96,2,3,Improving,Law,Moderate,Partial,Medium,Partially_Paid,0,1,Very_High,3,8,1,0,0,2,Off_Campus,Fair,High,0,2,Low,Somewhat_Clear,Low,2,0,0,1
21,Male,Kano,434,Single,0,261,Private,4.18,1,3.61,12,91,10,0,Stable,Engineering,High,None,Low,Owing,0,0,Moderate,12,26,1,0,1,9,Campus_Hostel,Good,High,1,12,Very_Low,Clear,Very_High,4,0,1,1
23,Female,Ekiti,607,Single,0,284,Public,4.82,2,2.98,22,43,1,2,Declining,Arts,Moderate,Partial,High,Owing,1,1,Moderate,7,25,1,0,0,3,Campus_Hostel,Excellent,Very_High,0,18,High,Somewhat_Clear,High,3,1,0,1
23,Female,Katsina,215,Married,0,325,Private,2.45,1,5.0,21,83,12,6,Declining,Education,High,None,Medium,Fully_Paid,1,0,Moderate,5,3,0,0,1,9,Private_Hostel,Fair,Low,0,1,Moderate,Unclear,Very_Low,2,0,0,0
22,Male,Katsina,346,Single,0,347,Public,4.18,4,2.49,28,44,6,7,Improving,Engineering,Moderate,Partial,Medium,Partially_Paid,1,0,Moderate,8,7,1,0,1,7,Private_Hostel,Excellent,High,1,11,High,Somewhat_Clear,Moderate,0,0,1,1
25,Female,Kaduna,65,Single,0,216,Private,4.68,1,3.99,22,42,11,5,Improving,Social_Sciences,High,Partial,Low,Partially_Paid,0,1,Moderate,1,27,1,0,0,1,Campus_Hostel,Good,High,0,3,Moderate,Unclear,High,0,0,0,0
21,Male,Ogun,363,Single,0,304,Public,3.3,1,2.59,17,72,12,1,Improving,Arts,High,None,Medium,Partially_Paid,0,1,Low,8,23,0,1,1,4,Campus_Hostel,Fair,Very_High,0,13,Moderate,Very_Unclear,Moderate,1,0,0,1
27,Female,Enugu,699,Single,0,258,Private,2.67,2,3.18,17,97,10,2,Stable,Science,Very_High,Partial,Low,Fully_Paid,0,1,High,3,28,0,0,0,3,Campus_Hostel,Excellent,Very_High,1,15,Moderate,Somewhat_Clear,Moderate,0,0,1,1
27,Female,Anambra,152,Single,0,339,Private,2.15,3,3.42,16,98,13,3,Improving,Medicine,Moderate,None,Low,Fully_Paid,0,1,Moderate,2,4,1,1,1,1,Off_Campus,Excellent,Very_High,1,4,Moderate,Somewhat_Clear,Very_High,4,0,1,0
25,Female,Ekiti,130,Single,0,215,Public,3.41,4,4.31,21,52,5,0,Stable,Business_Admin,High,Partial,Medium,Owing,1,0,Moderate,13,14,1,0,0,1,Off_Campus,Good,Moderate,0,8,Very_High,Somewhat_Clear,Low,1,0,0,0
20,Female,Oyo,257,Single,1,292,Public,2.56,5,4.99,20,96,8,0,Improving,Law,High,None,Medium,Owing,1,1,Moderate,3,2,1,0,0,3,Off_Campus,Good,Moderate,1,1,Moderate,Very_Unclear,Low,1,0,0,0
19,Male,Enugu,301,Single,1,195,Private,2.7,4,3.09,15,87,3,4,Declining,Environmental_Studies,High,None,Medium,Fully_Paid,0,1,Very_High,4,27,0,0,1,4,Off_Campus,Good,High,0,3,High,Very_Unclear,High,0,1,0,1
21,Male,Delta,286,Single,0,291,Public,2.59,1,4.61,24,76,6,5,Stable,Law,Moderate,None,Low,Fully_Paid,0,1,High,8,17,1,1,0,2,Off_Campus,Good,Moderate,0,0,Moderate,Somewhat_Clear,High,1,0,0,0
18,Female,Enugu,630,Single,0,244,Public,3.85,3,3.75,28,88,6,5,Improving,Environmental_Studies,Moderate,None,Medium,Fully_Paid,0,0,High,0,7,1,0,0,6,Off_Campus,Fair,Moderate,0,0,Low,Clear,Very_High,1,0,0,0
27,Female,Ogun,270,Single,0,199,Public,4.23,2,4.09,16,87,3,0,Improving,Science,Moderate,None,Low,Fully_Paid,1,1,High,6,20,0,0,0,7,Off_Campus,Fair,Moderate,0,15,Low,Clear,High,2,0,1,0
17,Female,Lagos,659,Single,0,282,Private,3.68,3,1.64,29,66,14,3,Stable,Environmental_Studies,Low,None,Medium,Fully_Paid,0,1,Moderate,14,5,0,0,1,4,Off_Campus,Fair,High,1,17,Low,Very_Clear,Low,2,0,0,1
21,Female,Borno,424,Married,0,308,Private,3.78,4,1.69,13,47,6,5,Stable,Environmental_Studies,Low,Partial,High,Owing,1,0,Very_High,14,21,1,0,0,4,Off_Campus,Good,Moderate,1,7,Moderate,Clear,Moderate,0,0,0,1
20,Male,Anambra,234,Single,0,230,Public,4.1,1,2.18,17,78,11,2,Declining,Education,Moderate,None,Low,Fully_Paid,1,1,Moderate,5,27,1,0,0,2,Campus_Hostel,Excellent,Low,0,1,Low,Somewhat_Clear,Low,4,0,0,1
